Control Box No.76(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,-0.15127422,-0.14788052,-0.10712079,-0.15874723,-0.09502705,-0.21121688,-0.13056985,-0.08684911,-0.15583415,-0.13273749,-0.11880259,-0.11573897,-0.10527673,-0.10510559,0.00383895,0.09866109,0.00000000,0.00000000,0.00000000,0,16:49:05.0,0,0
2,0.00000000,0.00000000,0.00000000,-0.25116891,-0.08911385,-0.05163828,-0.10954271,-0.06524048,-0.18665603,-0.09453863,-0.05845361,-0.13856763,-0.11390263,-0.11834071,-0.11703566,-0.09912379,-0.10662465,0.08199574,0.28189403,0.00000000,0.00000000,0.00000000,0,16:49:05.0,0,0
3,0.00000000,0.00000000,0.00000000,-0.49472496,-0.08714252,-0.03848182,-0.12824468,-0.08135626,-0.22290683,-0.06604733,-0.04433005,-0.16148104,-0.13079402,-0.15390754,-0.15866134,-0.13268426,-0.13198715,0.08027357,0.35960418,0.00000000,0.00000000,0.00000000,0,16:49:05.0,0,0
4,0.00000000,0.00000000,0.00000000,-0.48169741,-0.17182656,-0.09980243,-0.19445753,-0.13078156,-0.30500790,-0.08150899,-0.05952533,-0.22209206,-0.18263648,-0.21761426,-0.21817066,-0.18748672,-0.18788834,-0.03789705,0.21371412,0.00000000,0.00000000,0.00000000,0,16:49:06.0,0,0
5,0.00000000,0.00000000,0.00000000,-0.38481492,-0.09618574,-0.06455968,-0.14688647,-0.09045665,-0.17193094,-0.10426740,-0.08242229,-0.15059447,-0.12162456,-0.10880819,-0.13924295,-0.12380183,-0.09472912,-0.01842640,0.16833712,0.00000000,0.00000000,0.00000000,0,16:49:06.0,0,0
6,0.00000000,0.00000000,0.00000000,-0.24045800,-0.04678419,-0.04713418,-0.08165145,-0.05611286,-0.12621236,-0.14847405,-0.10108296,-0.10680057,-0.10735385,-0.07872936,-0.11131058,-0.09483594,-0.08554187,-0.06179625,0.09534037,0.00000000,0.00000000,0.00000000,0,16:49:06.0,0,0
7,0.00000000,0.00000000,0.00000000,-0.20345202,-0.08413018,-0.06926647,-0.08378661,-0.05512075,-0.18241602,-0.15369864,-0.09527391,-0.12378892,-0.13474263,-0.11415480,-0.13680516,-0.11370858,-0.12546146,-0.10792495,0.05233355,0.00000000,0.00000000,0.00000000,0,16:49:06.0,0,0
8,0.00000000,0.00000000,0.00000000,-0.27110696,-0.16618265,-0.17336529,-0.14497197,-0.10365705,-0.28029117,-0.21503837,-0.12152956,-0.18350469,-0.20590556,-0.17645895,-0.23551364,-0.16223121,-0.18032476,-0.16161802,0.02537530,0.00000000,0.00000000,0.00000000,0,16:49:06.0,0,0
9,0.00000000,0.00000000,0.00000000,-0.27923021,-0.06744862,-0.13394798,-0.06540488,-0.03332195,-0.17658398,-0.23267365,-0.12202342,-0.10331723,-0.13593826,-0.05982847,-0.13122630,-0.08308853,-0.06216350,-0.09046692,0.04904274,0.00000000,0.00000000,0.00000000,0,16:49:07.0,0,0
10,0.00000000,0.00000000,0.00000000,-0.23717453,0.01228502,-0.09126353,0.01748136,0.02091652,-0.09918124,-0.18958911,-0.09243627,-0.03965597,-0.08384074,-0.00694303,-0.08884935,-0.03432943,-0.03382004,-0.07667439,0.07071835,0.00000000,0.00000000,0.00000000,0,16:49:07.0,0,0
11,0.00000000,0.00000000,0.00000000,-0.23837590,-0.01017027,-0.08320810,0.00407370,0.00775648,-0.12422405,-0.19234487,-0.08637255,-0.04944411,-0.09881668,-0.03570891,-0.10259807,-0.04077150,-0.05926335,-0.08420931,0.06816654,0.00000000,0.00000000,0.00000000,0,16:49:07.0,0,0
12,0.00000000,0.00000000,0.00000000,-0.28252059,-0.07158394,-0.11768796,-0.05382937,-0.03278606,-0.18360114,-0.18575710,-0.08327366,-0.09539791,-0.13128045,-0.08890045,-0.13394605,-0.06422907,-0.09785534,-0.07367262,0.09212725,0.00000000,0.00000000,0.00000000,0,16:49:07.0,0,0
