CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
-0.89738095,1.68900394,-0.46171057,-0.62959528,-1.10647082,-0.01317438,-0.79615164,0.0,1.18538892,2.77677202,3.25261045,0.79197538,-0.00272961,0.0,0.0,-0.64413935
-0.84839725,1.76112485,-0.38058621,-0.56637126,-1.10647082,-0.02111619,-0.61398226,0.0,1.33066916,1.47008121,0.0,0.89027369,0.07378279,0.0,0.0,-0.71486169
-0.73934466,1.66562748,-0.44360137,-0.4025341,-0.96319342,-0.01959202,-0.69097793,0.0,1.29156327,2.77677202,0.0,0.81104696,0.07378279,0.0,0.0,-0.63494533
-0.59365535,1.43380213,-0.41648781,-0.45435989,-0.81460118,0.03003354,-0.75545466,0.0,1.20296264,1.38344932,0.0,0.7698825,-0.08276336,0.0,0.0,-0.66743147
-0.61961967,1.35153329,-0.46581575,-0.571459,-0.96319342,0.03277567,-0.86367941,0.0,1.15057242,2.14772105,0.0,0.80391073,0.07378279,0.0,0.0,-0.61649555
-0.67695397,1.39552677,-0.42747703,-0.29168829,-0.64978313,-0.02478017,-0.60685718,0.0,1.28833127,2.14772105,0.0,0.83332247,0.2313354,0.0,0.0,-0.67220044
-0.33547348,0.96102273,-0.24970955,-0.70010978,-1.10647082,0.03302673,-0.75910848,0.0,1.24539149,2.86340356,0.0,0.78621316,-0.22865002,0.0,0.0,-0.69386649
-0.21946263,0.87058353,-0.26082844,-0.58503288,-0.96319342,0.01612671,-0.84390539,0.0,1.14198637,1.63774478,0.0,0.71903759,-0.15637089,0.0,0.0,-0.71581161
-0.20581138,0.98013103,-0.36302376,-0.61516654,-1.25385594,0.02864569,-0.86367941,0.0,1.10987675,2.17985106,0.0,0.73778951,-0.00272961,0.0,0.0,-0.69202995
-0.23949748,1.00995517,-0.33151171,-0.57851881,-0.96319342,0.01357013,-0.7204603,0.0,1.21619713,2.14772105,0.0,0.77405804,0.15178484,0.0,0.0,-0.74017262
-0.26074371,0.96654749,-0.3800267,-0.75581193,-1.10647082,0.01266475,-0.71963936,0.0,1.12964487,1.30389869,0.0,0.7387386,-0.15637089,0.0,0.0,-0.77556485
-0.18482208,0.83545709,-0.41186887,-0.69886565,-0.96319342,0.04273314,-0.8104943,0.0,1.00434744,2.14772105,0.0,0.64600039,-0.44250852,0.0,0.0,-0.82202512
-0.19119909,0.6725226,-0.44013795,-0.88599312,-1.10647082,0.04690564,-0.74072498,0.0,0.96583521,2.94635844,3.25261045,0.67699957,-0.22865002,0.0,0.0,-0.80282652
-0.1418483,0.43860754,-0.36015284,-0.8689599,-1.10647082,0.04824512,-0.67823827,0.0,1.04436541,1.81869876,0.0,0.69765556,-0.08276336,0.0,0.0,-0.86074448
-0.16365595,0.40467498,-0.42339081,-0.83817923,-1.10647082,0.05103087,-0.75571239,0.0,1.05703878,1.55303597,3.25261045,0.70204854,-0.15637089,0.0,0.0,-0.66158879
-0.16365595,0.59076196,-0.47800303,-0.82946813,-1.25385594,0.08951227,-0.79615164,0.0,0.9880935,2.77677202,3.25261045,0.62030536,-0.29964831,0.0,0.0,-0.78490943
-0.07745621,0.74345541,-0.39923701,-0.87516248,-1.10647082,0.07099667,-0.74072498,0.0,1.09243631,3.07651806,0.0,0.74442637,-0.29964831,0.0,0.0,-0.83884889
-0.13458189,0.83841032,-0.46804518,-0.71777225,-1.10647082,0.03121238,-0.70487189,0.0,1.08575225,1.63774478,0.0,0.72223455,-0.00272961,0.0,0.0,-0.76857191
-0.2814737,0.67041731,-0.46100301,-0.98976278,-1.25385594,0.07366692,-0.79615164,0.0,1.0398941,2.06476641,0.0,0.6663596,-0.22865002,0.0,0.0,-0.56596571
-0.30826774,0.51489455,-0.54196942,-0.94983971,-0.81460118,0.05437742,-0.87802744,0.0,0.92778492,1.38344932,3.25261045,0.59537023,-0.08276336,0.0,0.0,-0.58366942
-0.39033389,0.82886183,-0.59529775,-0.89185727,-1.38727224,0.03861784,-0.78368318,0.0,1.07585621,1.30389869,0.0,0.71336645,-0.29964831,0.0,0.0,-0.68138975
-0.33622035,0.73155671,-0.58877933,-0.90887678,-1.10647082,0.04095108,-0.87672579,0.0,1.06130886,1.47008121,3.25261045,0.68917614,-0.22865002,0.0,0.0,-0.64710087
-0.39033389,0.68536526,-0.60294586,-1.06304014,-1.10647082,0.04140875,-0.92477804,0.0,0.9569912,2.77677202,0.0,0.60527575,-0.29964831,0.0,0.0,-0.67118025
-0.34257752,0.72930491,-0.64096153,-0.94249618,-1.10647082,0.05029657,-0.93189037,0.0,0.97074342,1.61943686,0.0,0.63143182,-0.29964831,0.0,0.0,-0.68431896
-0.30914131,0.94856626,-0.56602317,-0.96234494,-1.51638901,0.01605573,-0.76241702,0.0,1.06309605,1.30389869,3.25261045,0.70966852,-0.00272961,0.0,0.0,-0.71098542
-0.30908808,0.82453525,-0.54948455,-0.94150221,-1.51638901,0.05259568,-0.79037935,0.0,1.018471,1.38344932,3.25261045,0.6448189,-0.29964831,0.0,0.0,-0.68628627
-0.32256091,0.72930491,-0.59162855,-0.91616642,-1.10647082,0.05807343,-0.8979429,0.0,0.91313195,2.94635844,3.25261045,0.56611907,-0.15637089,0.0,0.0,-0.70243788
-0.33593538,0.88454413,-0.58035421,-0.81335378,-1.38727224,0.08219271,-0.84390539,0.0,0.9740634,2.86340356,0.0,0.66076869,-0.08276336,0.0,0.0,-0.66451424
-0.37709492,0.80751896,-0.55422664,-0.86393988,-1.51638901,0.06544782,-0.74180341,0.0,1.03026938,2.06476641,0.0,0.67195809,-0.37401852,0.0,0.0,-0.64232564
-0.36320159,0.85256088,-0.56091475,-0.71300828,-0.96319342,0.02985835,-0.81751162,0.0,0.99659795,1.77698946,0.0,0.59622651,-0.29964831,0.0,0.0,-0.61069691
-0.34996265,0.85498339,-0.56127506,-0.98592734,-1.25385594,0.07637279,-0.89094317,0.0,0.90005755,1.2258966,3.25261045,0.55626714,-0.29964831,0.0,0.0,-0.59704679
-0.37032872,0.93295592,-0.54352397,-0.85244173,-0.81460118,0.01816883,-0.71344298,0.0,1.05591655,1.2258966,0.0,0.68355358,0.07378279,0.0,0.0,-0.61449891
-0.41650367,0.99404103,-0.58507574,-0.85829669,-1.38727224,0.02479041,-0.8038522,0.0,1.02415013,1.14938426,0.0,0.63219118,-0.37401852,0.0,0.0,-0.57485223
-0.36996979,0.96654749,-0.62059331,-0.84886187,-1.25385594,0.04342635,-0.90422595,0.0,0.95961225,1.14938426,3.25261045,0.56172603,-0.29964831,0.0,0.0,-0.58463776
-0.43717945,0.93465614,-0.61144257,-0.99815059,-1.38727224,0.020078,-0.91878426,0.0,0.98955429,1.14938426,0.0,0.62464315,-0.00272961,0.0,0.0,-0.59408128
-0.3567948,1.05843902,-0.62115759,-0.79640794,-1.25385594,0.02114591,-0.83093131,0.0,1.06791413,1.38344932,0.0,0.68118113,-0.29964831,0.0,0.0,-0.56703985
-0.30933639,0.99404103,-0.59357363,-0.87246346,-1.25385594,0.02069996,-0.85814637,0.0,1.01842618,1.47008121,0.0,0.63033521,-0.44250852,0.0,0.0,-0.56407434
-0.32280076,1.10783195,-0.55397779,-0.92676282,-1.51638901,0.05891576,-0.95797503,0.0,0.92965293,1.38344932,0.0,0.573358,-0.22865002,0.0,0.0,-0.57388389
-0.27456009,1.01322138,-0.53359711,-0.8110702,-1.25385594,0.03844975,-0.79615164,0.0,1.04188144,2.11782312,3.25261045,0.65634847,-0.00272961,0.0,0.0,-0.58759934
-0.28897232,1.0183115,-0.53126007,-0.66768825,-1.25385594,0.06018825,-0.72054893,0.0,1.07139516,2.77677202,0.0,0.68118113,-0.15637089,0.0,0.0,-0.58269972
-0.29567695,1.01594555,-0.52211308,-0.79793,-1.10647082,0.07456713,-0.84364873,0.0,0.9973141,1.74406946,3.25261045,0.59867859,-0.29964831,0.0,0.0,-0.58269972
-0.32256091,1.02933133,-0.5633117,-0.6930995,-1.10647082,0.03674182,-0.9449541,0.0,0.9028517,2.17985106,3.25261045,0.56611907,-0.29964831,0.0,0.0,-0.6047861
-0.28220412,1.04408729,-0.50283331,-0.82973403,-1.25385594,0.04391713,-0.76247191,0.0,1.08141875,1.97813439,0.0,0.67474031,0.15178484,0.0,0.0,-0.57588375
-0.33593538,1.09389925,-0.54039425,-0.80418903,-1.38727224,0.01007286,-0.78963506,0.0,1.06723356,1.14938426,0.0,0.67640597,-0.22865002,0.0,0.0,-0.60381776
-0.35611144,1.04958248,-0.58935803,-0.82069492,-1.38727224,0.03153055,-0.91121459,0.0,1.00536609,1.14938426,0.0,0.57934564,-0.37401852,0.0,0.0,-0.61746049
-0.32246256,1.13326228,-0.6045956,-0.77111769,-1.25385594,0.01019184,-0.80404723,0.0,1.07238066,1.30619836,3.25261045,0.69163227,-0.22865002,0.0,0.0,-0.58069152
-0.30914131,1.16282296,-0.56903297,-0.89123428,-1.25385594,0.00820346,-0.7666285,0.0,1.11476254,1.30389869,3.25261045,0.71417457,-0.15637089,0.0,0.0,-0.61649609
-0.27456009,0.91598856,-0.59076679,-0.78882384,-1.51638901,0.01619412,-0.80260921,0.0,1.07178736,1.30389869,0.0,0.67307734,-0.22865002,0.0,0.0,-0.56800425
-0.28897232,1.09157133,-0.62940109,-0.82507783,-1.25385594,0.02336951,-0.8515057,0.0,1.03014457,1.06935036,0.0,0.67195809,0.07378279,0.0,0.0,-0.60678327
-0.23374571,1.15830326,-0.54745901,-0.75042605,-1.38727224,0.02354885,-0.70666528,0.0,1.16870666,2.10184908,0.34409136,0.7387386,-0.15637089,0.0,0.0,-0.59608114
-0.29492411,1.14179051,-0.58002371,-0.72613919,-1.10647082,0.02895912,-0.78368318,0.0,1.14578855,1.89858389,3.25261045,0.72223455,0.07378279,0.0,0.0,-0.58269972
-0.27427766,1.24077916,-0.5658257,-0.65302831,-1.25385594,0.06572545,-0.94468772,0.0,1.06679797,2.86340356,0.0,0.63811266,-0.15637089,0.0,0.0,-0.59608114
-0.25423333,1.13075817,-0.53369379,-0.70939034,-1.25385594,0.0543868,-0.76247191,0.0,1.16288042,1.30389869,0.0,0.77787471,-0.29964831,0.0,0.0,-0.57191253
-0.29492411,1.13611174,-0.51456106,-0.55568659,-1.25385594,-0.00770288,-0.69019866,0.0,1.21079242,2.34603357,0.0,0.76642495,-0.15637089,0.0,0.0,-0.57485223
-0.23306721,1.17599249,-0.53676921,-0.80386269,-1.38727224,0.03003391,-0.76819438,0.0,1.15490234,2.69722104,0.0,0.72134662,-0.15637089,0.0,0.0,-0.54469305
-0.31429783,1.20937169,-0.58744198,-0.78883255,-1.10647082,0.01661008,-0.83093131,0.0,1.07593822,2.86340356,0.0,0.653687,-0.22865002,0.0,0.0,-0.60581756
-0.28790683,1.17954755,-0.58507574,-0.7333566,-1.10647082,-0.0074196,-0.64806676,0.0,1.21428072,2.86340356,0.0,0.81897986,-0.00272961,0.0,0.0,-0.59704679
-0.30933639,1.17599249,-0.59135467,-0.65324533,-1.10647082,-0.00271327,-0.67703563,0.0,1.243662,1.14938426,0.0,0.80002904,0.15178484,0.0,0.0,-0.59311152
-0.31578344,1.19430363,-0.59584141,-0.84374976,-1.25385594,-0.00077149,-0.79489207,0.0,1.17269254,1.06935036,3.25261045,0.76486647,-0.08276336,0.0,0.0,-0.59311152
-0.30243671,1.04410338,-0.65806675,-0.70940256,-1.25385594,0.02694825,-0.84430575,0.0,1.09276152,1.63774478,0.0,0.69362402,-0.08276336,0.0,0.0,-0.58366942
-0.29567695,1.05208564,-0.59895331,-0.68629134,-1.38727224,-0.01306911,-0.64806676,0.0,1.24758792,2.51369715,3.25261045,0.83096802,0.07378279,0.0,0.0,-0.60187697
-0.26770616,1.157184,-0.54208934,-0.66346973,-1.10647082,0.02393202,-0.64713669,0.0,1.24477088,1.55303597,3.25261045,0.8086859,0.31796753,0.0,0.0,-0.55914754
-0.26800931,1.12375963,-0.55526972,-0.71019411,-1.25385594,0.03173499,-0.75533736,0.0,1.1552223,1.47008121,3.25261045,0.74893236,0.15178484,0.0,0.0,-0.57291418
-0.35673085,0.9611305,-0.58408409,-0.57381713,-1.10647082,0.06263619,-0.67703563,0.0,1.16622901,1.82058179,3.25261045,0.79504263,0.2313354,0.0,0.0,-0.5768494
-0.30231911,1.04214346,-0.48067197,-0.72680753,-1.38727224,0.04221831,-0.64806676,0.0,1.23572063,2.42898846,0.0,0.81319189,0.2313354,0.0,0.0,-0.56504267
-0.22643396,0.81326169,-0.44665903,-0.61256611,-0.96319342,-0.00083984,-0.60796034,0.0,1.20678246,2.86340356,0.0,0.76763976,0.15178484,0.0,0.0,-0.56109643
-0.26100156,0.78121305,-0.48681635,-0.83442473,-0.96319342,0.03549455,-0.78259313,0.0,1.11031783,1.30389869,3.25261045,0.69163227,-0.08276336,0.0,0.0,-0.57090598
-0.32256091,0.860834,-0.54141694,-0.81536919,-1.10647082,-0.00110838,-0.69189775,0.0,1.20697141,2.42898846,3.25261045,0.8096987,0.15178484,0.0,0.0,-0.58566928
-0.32931739,0.93465614,-0.52357471,-0.79891467,-1.25385594,-0.00615282,-0.61203837,0.0,1.22926736,2.03128505,0.0,0.8086859,0.15178484,0.0,0.0,-0.5552088
-0.28220412,0.94836611,-0.57271516,-0.72527337,-1.10647082,0.00374336,-0.73280233,0.0,1.16601133,1.55303597,0.0,0.75582582,0.07378279,0.0,0.0,-0.57090598
-0.27456009,0.85670841,-0.56803399,-0.89068931,-1.25385594,0.01626014,-0.82391393,0.0,1.06672978,1.38344932,0.0,0.67756462,-0.08276336,0.0,0.0,-0.59311152
-0.32920304,0.97897297,-0.58776897,-0.73928642,-1.25385594,0.01000296,-0.71344298,0.0,1.17792964,2.77677202,0.0,0.79675055,0.2313354,0.0,0.0,-0.5502888
-0.33593538,0.99781114,-0.56524301,-0.68335956,-1.10647082,-0.00238988,-0.59918135,0.0,1.18536556,1.63774478,3.25261045,0.79098839,0.40092215,0.0,0.0,-0.57781374
-0.30914131,0.96135128,-0.55298674,-0.69618505,-0.81460118,0.04074086,-0.67823827,0.0,1.11089897,2.25940156,0.0,0.72790575,-0.22865002,0.0,0.0,-0.56895709
-0.33593538,0.91880542,-0.57149208,-0.7656219,-1.51638901,0.06451587,-0.76927102,0.0,1.01759529,1.63774478,0.0,0.64923906,-0.00272961,0.0,0.0,-0.60774767
-0.34344804,0.98013103,-0.56827587,-0.58985364,-0.96319342,0.06008864,-0.67098653,0.0,1.12462759,1.55303597,3.25261045,0.75399649,0.15178484,0.0,0.0,-0.56798071
-0.3567948,0.91436827,-0.51153493,-0.73878646,-1.10647082,0.05943566,-0.66406155,0.0,1.1291585,1.38344932,0.0,0.72790575,-0.00272961,0.0,0.0,-0.5552088
-0.34919447,0.93056107,-0.50211906,-0.70605236,-0.81460118,0.01207965,-0.76927102,0.0,1.04918098,2.06476641,0.0,0.65634847,-0.15637089,0.0,0.0,-0.57090598
-0.38361153,0.77073818,-0.54705822,-0.94526517,-1.51638901,0.05148161,-0.81472468,0.0,0.97796655,2.60023546,0.0,0.65039343,0.07378279,0.0,0.0,-0.59986603
-0.34919447,0.98069793,-0.51921791,-0.86388999,-1.25385594,0.00543618,-0.66533816,0.0,1.11195052,1.38344932,0.0,0.72223455,-0.15637089,0.0,0.0,-0.5817287
-0.37032872,0.99404103,-0.54733998,-0.87376249,-1.38727224,0.01178634,-0.73420835,0.0,1.08651567,1.72428298,0.0,0.71417457,-0.00272961,0.0,0.0,-0.56109643
-0.34217447,0.83850408,-0.59409124,-0.77710897,-0.96319342,0.03017868,-0.74180341,0.0,0.99906725,1.38344932,0.0,0.62337792,0.07378279,0.0,0.0,-0.60187697
-0.26074371,1.01392102,-0.51555121,-0.87982643,-1.25385594,0.01983349,-0.70009625,0.0,1.04748821,1.14938426,0.0,0.72951555,-0.44250852,0.0,0.0,-0.57485223
-0.34344804,1.05812061,-0.59041643,-0.77987689,-0.96319342,0.03186696,-0.75533736,0.0,1.09071696,2.34603357,3.25261045,0.7109167,-0.00272961,0.0,0.0,-0.38608664
-0.37709492,1.06174719,-0.59298629,-0.72765684,-1.10647082,0.00944639,-0.72719109,0.0,1.03829539,1.94657624,0.0,0.63663912,-0.22865002,0.0,0.0,-0.36913127
-0.17041086,1.12672234,-0.52082908,-0.72582436,-1.64147401,0.07464084,-0.8982414,0.0,0.96340263,1.97813439,0.0,0.58839488,-0.37401852,0.0,0.0,-0.60678327
-0.15661581,1.07474172,-0.47131681,-0.80094087,-1.10647082,0.06332491,-0.8301844,0.0,1.01476121,1.38344932,0.0,0.68355358,-0.08276336,0.0,0.0,-0.64908975
-0.23306721,0.87984109,-0.49900815,-0.61469984,-1.10647082,0.0701096,-0.62143314,0.0,1.06310523,2.94635844,0.0,0.68133736,-0.08276336,0.0,0.0,-0.58463776
-0.22697751,0.7873112,-0.45577687,-0.79310876,-1.10647082,0.07380144,-0.6715337,0.0,0.99735129,1.89858389,0.0,0.63369238,-0.00272961,0.0,0.0,-0.57781374
-0.1000208,1.0752337,-0.45762634,-0.82274485,-1.38727224,0.04987669,-0.86503959,0.0,0.9007498,2.86340356,0.0,0.56837481,-0.29964831,0.0,0.0,-0.65005016
-0.04261525,1.29328728,-0.40568584,-0.87180233,-0.96319342,0.04182424,-0.66406155,0.0,1.05543101,2.42898846,0.0,0.69038665,-0.00272961,0.0,0.0,-0.68919545
-0.17041086,0.79668868,-0.48863405,-0.95505428,-1.10647082,0.02218804,-0.76905918,0.0,1.05597043,1.30389869,0.0,0.70044553,-0.15637089,0.0,0.0,-0.67356211
-0.13426134,0.96838468,-0.51360303,-0.98852861,-1.38727224,0.04336635,-0.76250279,0.0,0.96658099,1.38344932,0.0,0.62556005,-0.22865002,0.0,0.0,-0.57588375
-0.19861713,0.65274167,-0.60594088,-1.10857999,-1.10647082,0.04252928,-0.88458103,0.0,1.04509115,0.99574292,3.25261045,0.70204854,-0.00272961,0.0,0.0,-0.64413935
-0.08524697,0.75810897,-0.53560179,-1.12671292,-1.10647082,0.03312188,-0.7138443,0.0,1.15097046,1.38344932,3.25261045,0.74777925,-0.15637089,0.0,0.0,-0.68972576
-0.14902884,0.92884558,-0.60100013,-1.01636136,-1.25385594,0.03849635,-0.72804862,0.0,1.100299,1.47008121,0.0,0.67080748,-0.08276336,0.0,0.0,-0.57877678
-0.11401211,1.12470794,-0.62227523,-0.92160726,-1.38727224,0.03375103,-0.9514116,0.0,1.01902461,1.30389869,3.25261045,0.64256048,-0.15637089,0.0,0.0,-0.68336511
-0.12724705,1.11007023,-0.58935803,-0.8933059,-1.10647082,0.05224795,-0.71439737,0.0,1.19264925,1.55303597,3.25261045,0.77214575,-0.08276336,0.0,0.0,-0.62136555
-0.26800931,0.82453525,-0.66120434,-1.02675915,-1.25385594,0.05948252,-0.84390539,0.0,1.20749509,1.63774478,0.0,0.78042364,-0.00272961,0.0,0.0,-0.56310463
-0.25247157,1.39946306,-0.70527798,-0.91203427,-0.96319342,0.06745708,-1.01726484,0.0,1.19734168,1.30389869,0.0,0.75234294,-0.50984728,0.0,0.0,-0.70339173
-0.4352259,0.89909208,-0.8244319,-1.21599782,-1.25385594,0.06856723,-1.00887346,0.0,1.17279768,2.10184908,0.0,0.80290627,-0.22865002,0.0,0.0,-0.64525485
-0.52203798,1.02613795,-0.84415066,-1.14213896,-1.10647082,0.00823963,-0.8572799,0.0,1.34402859,1.06935036,3.25261045,0.88618112,-0.00272961,0.0,0.0,-0.51035863
-0.45003656,1.12363148,-0.82288319,-1.29851985,-1.10647082,0.03107503,-0.8572799,0.0,1.28014755,1.55303597,0.0,0.82922089,-0.29964831,0.0,0.0,-0.65005016
-0.32280076,1.26369834,-0.79484659,-1.37402678,-1.10647082,0.02874714,-1.23438597,0.0,1.15427315,1.14938426,0.0,0.76186812,-0.37401852,0.0,0.0,-0.6837666
-0.32246256,1.07650328,-0.77667403,-1.32754874,-1.38727224,0.04094684,-0.94493705,0.0,1.14461899,2.54270649,3.25261045,0.78240931,-0.00272961,0.0,0.0,-0.64265633
-0.50966144,1.01037848,-0.87668031,-1.15246856,-1.10647082,0.01892429,-0.87832242,0.0,1.25362134,1.55303597,0.0,0.81035489,-0.15637089,0.0,0.0,-0.61926842
-0.36381209,1.27784729,-0.72120142,-1.0978992,-0.96319342,0.03079741,-0.9782753,0.0,1.17638826,2.69722104,0.0,0.76186812,-0.50984728,0.0,0.0,-0.64722216
-0.47710687,1.12375963,-0.79454333,-1.02173901,-1.25385594,0.05468925,-1.08195698,0.0,1.07621837,0.85246539,3.25261045,0.70402992,-0.44250852,0.0,0.0,-0.6841411
-0.50289798,1.00017905,-0.73549092,-0.84160674,-1.10647082,0.00907229,-0.81577218,0.0,1.22436571,3.11760569,0.0,0.8086859,-0.00272961,0.0,0.0,-0.55913341
