Control Box No.76(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.00000000,0.10501891,0.00000000,0.00000000,0.53022653,0.25046721,0.11110547,0.00000000,-0.05398819,0.31053573,1.72128224,0.09388981,0.26699749,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:02.0,0,0
2,0.00000000,0.00000000,0.00000000,0.00000000,0.08401608,0.00000000,0.00000000,-1.71629524,0.11387604,0.10240340,0.00000000,-0.02427605,0.29932380,1.32840264,0.07030696,0.21455507,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:02.0,0,0
3,0.00000000,0.00000000,0.00000000,0.00000000,0.09251958,0.00000000,0.00000000,-0.17178655,0.18333545,0.03459308,0.00000000,-0.03731153,0.26833856,1.72128224,0.02350669,0.12048876,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:02.0,0,0
4,0.00000000,0.00000000,0.00000000,0.00000000,0.12261540,0.00000000,0.00000000,0.46997616,0.15007836,0.09042396,0.00000000,0.00117081,0.19080344,0.74587768,0.08224958,0.17989747,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:03.0,0,0
5,0.00000000,0.00000000,0.00000000,0.00000000,0.08680332,0.00000000,0.00000000,-1.69595623,0.13689575,0.17646873,0.00000000,0.04414691,0.13720647,-0.21264330,0.09504915,0.21823402,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:03.0,0,0
6,0.00000000,0.00000000,0.00000000,0.00000000,0.21550925,0.00000000,0.00000000,0.41061857,0.19995853,0.09042396,0.00000000,0.03923246,0.19285432,0.72464532,0.07866651,0.22153619,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:03.0,0,0
7,0.00000000,0.00000000,0.00000000,0.00000000,-0.02642512,0.00000000,0.00000000,-1.71559715,0.19316968,0.12007005,-4.82380438,0.04590890,0.19592294,-0.47638586,0.03592461,0.14370809,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:03.0,0,0
8,0.00000000,0.00000000,0.00000000,0.00000000,-0.10926780,0.00000000,0.00000000,-0.13685356,0.09440224,0.18613030,0.00000000,0.02755445,0.29247355,0.85522008,0.08940032,0.21473178,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:03.0,0,0
9,0.00000000,0.00000000,0.00000000,0.00000000,-0.07739839,0.00000000,0.00000000,0.03784436,0.13689575,0.28452456,0.00000000,0.02742121,0.34606194,0.31566179,0.11956836,0.29733005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:04.0,0,0
10,0.00000000,0.00000000,0.00000000,0.00000000,0.03410250,0.00000000,0.00000000,0.18281910,0.12053174,0.20652254,0.00000000,0.00120151,0.30445185,0.99170291,0.10182229,0.27093318,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:04.0,0,0
