CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
-2.0416081,-1.31549215,-3.01425099,-2.95206451,-0.0412719,3.31317568,12.78199768,5.3163681,3.34821558,-1.35802412,-0.26779735,-1.54660368,0.26401493,0.70797849,-2.57871819,-1.93164635
-2.05829406,-1.32097793,-3.01826954,-2.95518565,-0.05205944,3.28853893,12.74196053,5.30089855,3.33788109,-1.37484086,-0.27384356,-1.54896045,0.26006055,0.70009166,-2.58094263,-1.93062735
-2.07746768,-1.35267925,-3.01222563,-2.95895648,-0.10940564,3.23364735,12.72292137,5.26430893,3.27864623,-1.44319153,-0.30808628,-1.59082985,0.22313094,0.67191964,-2.58281946,-1.94249821
-2.11678791,-1.40540743,-3.00568533,-2.95284557,-0.18436044,3.16074514,12.6319294,5.19487286,3.19842196,-1.54090238,-0.36740011,-1.63859284,0.18808958,0.63296729,-2.59315372,-1.95974004
-2.15199518,-1.46778345,-3.00263715,-2.96232343,-0.27923945,3.09843612,12.57959175,5.13371038,3.12468576,-1.61330283,-0.41862321,-1.67237616,0.14872588,0.62216735,-2.60233116,-1.97002244
-2.08985806,-1.34876299,-3.01308393,-2.95992804,-0.06040937,3.33313942,12.81740665,5.32244587,3.34915209,-1.36684787,-0.26780728,-1.56262088,0.25444877,0.71070325,-2.57888198,-1.93716061
-2.07125187,-1.32038343,-3.00895596,-2.94393039,-0.02394435,3.32128668,12.7770071,5.31927586,3.35037661,-1.36721098,-0.26188529,-1.56587458,0.24740177,0.69150859,-2.58295035,-1.94751358
-2.0991087,-1.36232877,-3.0090642,-2.9598484,-0.08890232,3.24494243,12.71537685,5.25845623,3.27663445,-1.4468708,-0.30978054,-1.60899878,0.20624828,0.66042364,-2.59434795,-1.95769787
-2.13903785,-1.41186094,-3.01069546,-2.9673059,-0.16184562,3.18878174,12.69894218,5.20574713,3.21033597,-1.52216566,-0.36004183,-1.65043569,0.16954227,0.62966871,-2.59820032,-1.9705075
-2.15514803,-1.46227098,-2.9978888,-2.96564341,-0.2449688,3.10104275,12.60448456,5.15608311,3.1244638,-1.5824337,-0.40582278,-1.67688823,0.146348,0.62218958,-2.59984493,-1.97412992
-2.09614968,-1.34116232,-3.00555873,-2.95577502,-0.02668133,3.34360981,12.85829735,5.33578682,3.35080552,-1.33269155,-0.26200086,-1.56664681,0.24914399,0.70620793,-2.58501506,-1.94810677
-2.09418869,-1.32087469,-3.01387572,-2.95166659,0.00021812,3.33553648,12.84626579,5.32376146,3.3519454,-1.3312403,-0.25639677,-1.56747985,0.23804632,0.69707489,-2.58622289,-1.95196915
-2.10801244,-1.35392809,-3.0111928,-2.95215082,-0.05696946,3.27718687,12.80472183,5.28214264,3.29302931,-1.39713621,-0.29473436,-1.59800911,0.20443752,0.6640811,-2.5879519,-1.95453787
-2.1462214,-1.40154338,-3.00197697,-2.9557662,-0.1291979,3.20274997,12.70555305,5.21835279,3.21928596,-1.48944783,-0.35033488,-1.64124107,0.1756662,0.62336379,-2.59548283,-1.97000396
-2.18609381,-1.46519446,-3.00554681,-2.96724129,-0.22553676,3.1292572,12.63687515,5.14174271,3.13660383,-1.58473122,-0.41412175,-1.69250059,0.13613015,0.58446968,-2.60730982,-2.00501728
-2.13779831,-1.38896847,-3.01510334,-2.9626081,-0.07344311,3.30951452,12.82355309,5.31060934,3.31426191,-1.35762727,-0.28932661,-1.57274318,0.24316463,0.68722761,-2.59016895,-1.96345603
-2.12220883,-1.33781528,-3.01339388,-2.94474101,0.00571594,3.3577919,12.86778927,5.34268284,3.37355232,-1.28373468,-0.24772778,-1.55379164,0.2567609,0.69593024,-2.582443,-1.9485054
-2.1396203,-1.36236024,-3.00552273,-2.94963408,-0.0345163,3.30966854,12.82077408,5.2889514,3.33070993,-1.36264515,-0.28770936,-1.59227514,0.21553688,0.66086298,-2.58786654,-1.96311152
-2.17892861,-1.41482878,-3.0045886,-2.95508814,-0.11113366,3.23324776,12.75270844,5.23047924,3.25570488,-1.44660866,-0.34424266,-1.6391772,0.1676818,0.61661196,-2.59989953,-1.98418355
-2.21963501,-1.48068976,-3.00468826,-2.96687078,-0.20679417,3.1353128,12.63525772,5.15835905,3.16010189,-1.53916204,-0.40612048,-1.69221807,0.12171442,0.57951027,-2.60785532,-1.99645579
-2.22075486,-1.46338844,-3.00981116,-2.96407223,-0.1565114,3.23631191,12.75296688,5.26730919,3.24755239,-1.39937735,-0.34047025,-1.62754166,0.17382786,0.63803053,-2.59656382,-1.9759177
-2.17054892,-1.3927902,-3.00515175,-2.94914007,-0.04085368,3.30162239,12.80147743,5.2941761,3.3152442,-1.32473886,-0.29391766,-1.59608173,0.19413722,0.66176224,-2.58772564,-1.96529746
-2.191257,-1.40777135,-3.00528693,-2.95204091,-0.06786501,3.27829766,12.80921841,5.26557398,3.2884264,-1.36812758,-0.31856337,-1.61906505,0.16512263,0.63275063,-2.59505033,-1.97327721
-2.21201658,-1.45291281,-3.00654411,-2.96042061,-0.13945588,3.17393208,12.70718861,5.20492077,3.19404626,-1.45139039,-0.36963171,-1.65881896,0.13209976,0.59705782,-2.60232234,-1.99684155
-2.23628187,-1.51056933,-3.00424314,-2.96503067,-0.22877637,3.08940506,12.62701893,5.13715172,3.1029768,-1.53824389,-0.42736417,-1.70939505,0.08337339,0.56570387,-2.60779858,-2.00329733
-2.23935628,-1.50055397,-2.99815321,-2.96487021,-0.19559634,3.16765642,12.71798706,5.23649979,3.16752625,-1.41213918,-0.36525303,-1.64277697,0.13169618,0.62393296,-2.60027838,-1.97810018
-2.19520903,-1.41431141,-3.00629497,-2.9563179,-0.05452976,3.27451205,12.81254673,5.27783966,3.27082992,-1.31322336,-0.30218598,-1.59085405,0.1774911,0.65421647,-2.59013033,-1.96992481
-2.19606829,-1.42696762,-3.00525951,-2.95964479,-0.08012033,3.24312067,12.78465271,5.25451708,3.24785542,-1.35424995,-0.3218751,-1.6024226,0.16837212,0.63862562,-2.59348583,-1.97078192
-2.18501663,-1.46132708,-3.00724077,-2.95619416,-0.14356723,3.19698381,12.71308804,5.20541,3.18440342,-1.45650589,-0.36242372,-1.64509797,0.13518336,0.60735196,-2.59819031,-1.99770594
-2.20279837,-1.51632476,-3.00042057,-2.96155953,-0.22862333,3.10456133,12.65062618,5.13862896,3.09636402,-1.54435217,-0.42298746,-1.70351028,0.0846933,0.55324244,-2.59731793,-2.37377143
-2.19196415,-1.57072973,-2.99544764,-2.9642427,-0.3066712,3.04555845,12.61328697,5.14599609,3.03340054,-1.57134485,-0.45529622,-1.75592113,0.01198931,0.47486851,-2.65586209,-2.66516066
-2.15029955,-1.45651674,-3.00535893,-2.95478988,-0.07966322,3.27605438,12.84954071,5.32958126,3.24983788,-1.3410238,-0.32368875,-1.68917131,0.07009169,0.52076757,-2.66876554,-2.67216802
-2.1593399,-1.45720768,-3.01520157,-2.96444035,-0.0845533,3.27535033,12.83349991,5.3016777,3.25375462,-1.36545181,-0.33240002,-1.71288717,0.04480302,0.49866104,-2.67553711,-2.67060113
-2.18878436,-1.4896667,-3.00915623,-2.96362925,-0.14591795,3.20437908,12.7770071,5.25597143,3.19118595,-1.44162607,-0.37309295,-1.76318479,0.0003967,0.46630907,-2.68257117,-2.67487717
-2.2327826,-1.53436947,-2.99761605,-2.96263504,-0.21578008,3.1469903,12.70718861,5.19337606,3.11949825,-1.52937925,-0.4247905,-1.81246638,-0.03173816,0.43512368,-2.68973899,-2.66797495
-2.2781539,-1.59138811,-2.99279118,-2.96614885,-0.29013225,3.12962961,12.61818695,5.16417074,3.09265161,-1.540815,-0.44050935,-1.80503488,-0.03406715,0.45081556,-2.68795967,-2.65529108
-2.2471981,-1.5088892,-3.00431299,-2.96341825,-0.10943875,3.29791689,12.7628231,5.25558472,3.25490379,-1.38550973,-0.35292172,-1.75776458,0.01403768,0.4835346,-2.6859901,-2.65966225
-2.18281507,-1.50530148,-3.00690317,-2.96206188,-0.13224208,3.2316823,12.68167019,5.21678448,3.22696257,-1.45204961,-0.36565393,-1.79136026,-0.00354911,0.46712521,-2.69350219,-2.65747499
-2.19673991,-1.54198384,-3.00572371,-2.96641588,-0.20228907,3.13839388,12.59800911,5.1680603,3.15687394,-1.52759385,-0.40719455,-1.83346963,-0.03129333,0.43727365,-2.69162869,-2.65679455
-2.24077368,-1.58692622,-2.99973536,-2.9619,-0.2745147,3.07962728,12.5731144,5.10462713,3.08385754,-1.61062741,-0.4674089,-1.89830875,-0.09545459,0.40417749,-2.69565439,-2.65635395
-2.27956271,-1.61128879,-2.99700427,-2.96321392,-0.29065508,3.1184454,12.61582947,5.17385006,3.11972046,-1.51575935,-0.43520454,-1.85423803,-0.05884742,0.4463841,-2.70327377,-2.63307953
-2.22898149,-1.51590061,-3.00629497,-2.95610213,-0.1295484,3.23970842,12.6735754,5.21402788,3.25020075,-1.40094805,-0.36093631,-1.80944765,-0.02069144,0.48216549,-2.69634295,-2.61105156
-2.1984148,-1.52058673,-3.00789976,-2.96175933,-0.15593973,3.17549849,12.65969944,5.19447994,3.21703815,-1.42261112,-0.37800401,-1.84527588,-0.06735,0.42159486,-2.69162107,-2.68441916
-2.23140001,-1.55303776,-3.00237465,-2.95260286,-0.21407756,3.07317352,12.65392399,5.1781826,3.11781621,-1.47667968,-0.42621157,-1.91107166,-0.14790931,0.33816564,-2.7270627,-2.75856209
-2.28894091,-1.60067368,-2.99683237,-2.96329093,-0.30257708,2.98202753,12.56760216,5.11223364,3.00997734,-1.55879867,-0.48641628,-1.95643246,-0.18801768,0.2878567,-2.73197174,-2.77310443
-2.32336426,-1.65533769,-2.99333906,-2.95937228,-0.38963827,2.9267509,12.51750565,5.07005215,2.93866229,-1.60214472,-0.52567166,-1.95386791,-0.19704138,0.27127478,-2.7333231,-2.77375937
-2.24396801,-1.54122722,-3.00492144,-2.9553709,-0.19764891,3.15905905,12.74946404,5.24703026,3.16229868,-1.372154,-0.38405931,-1.85640883,-0.10950698,0.33078861,-2.73616505,-2.79244232
-2.23284006,-1.52786088,-3.01101685,-2.95425391,-0.19978216,3.17827821,12.74452019,5.20686817,3.18263912,-1.39642239,-0.38452339,-1.8445065,-0.1076967,0.32868356,-2.73262453,-2.77744579
-2.24807072,-1.55226326,-3.00965381,-2.95691228,-0.25828347,3.09919381,12.63919258,5.14990377,3.10913658,-1.47847605,-0.4234556,-1.87357748,-0.13167122,0.30860871,-2.72699356,-2.76367235
-2.27658987,-1.59210575,-3.00354528,-2.95488334,-0.32396209,3.03134251,12.59161758,5.087924,3.03148174,-1.56405628,-0.4741652,-1.91239452,-0.16615225,0.28243476,-2.72723937,-2.75598812
-2.30075359,-1.63904512,-2.99740624,-2.96237206,-0.39573878,2.96380854,12.53105545,5.07149649,2.95989537,-1.58932567,-0.49818298,-1.91585946,-0.17775646,0.29135716,-2.72870445,-2.75740242
-2.23779631,-1.54616785,-3.00979853,-2.96017122,-0.24035314,3.16143179,12.74946404,5.19448709,3.15139818,-1.40962303,-0.3915804,-1.83789158,-0.10698468,0.33977914,-2.72741318,-2.75538063
-2.21811485,-1.54743707,-3.01346636,-2.9618988,-0.26038751,3.15523958,12.66617489,5.13598013,3.15060806,-1.46455777,-0.39966726,-1.82682347,-0.08450032,0.37589234,-2.72095966,-2.70914292
-2.2448945,-1.57638359,-3.00961518,-2.95480585,-0.32239926,3.08440828,12.57872391,5.06501865,3.0843873,-1.55638433,-0.44265735,-1.8638835,-0.11331321,0.36273029,-2.7164526,-2.68826938
-2.266819,-1.6223011,-3.00243568,-2.96048784,-0.39187118,3.0184226,12.50464249,4.99936199,3.01742125,-1.66606212,-0.4943949,-1.91599977,-0.15508632,0.33180559,-2.71437311,-2.68091559
