CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
-0.0,-0.0,0.07303802,0.48538944,1.19946194,0.42367354,0.22033966,0.79559642,0.45078969,0.02308353,0.82029611,0.23770118,0.3099502,0.72264838,0.29694393,0.10709304
-0.0,-0.0,0.07033402,0.48368251,1.18063045,0.43049383,0.2229543,0.80501449,0.44810471,0.0224912,0.80790353,0.22219846,0.31664172,0.66689265,0.28735778,0.17693087
-0.0,-0.0,0.06223797,0.45766577,1.06229687,0.42641491,0.19859466,0.75006491,0.42578194,0.0008294,0.70281589,0.22545898,0.28895015,0.47138342,0.27377936,0.22749457
-0.0,-0.0,0.06943921,0.4830896,1.13465476,0.41294587,0.21948513,0.8036083,0.43644121,0.02263724,0.8207615,0.25818023,0.31749907,0.93953103,0.30768505,0.13850786
-0.0,-0.0,0.06509964,0.48097897,1.17998171,0.41616192,0.2294253,0.79680496,0.44323367,0.02069759,0.81025594,0.2314034,0.3166948,0.72336781,0.28915155,0.10870928
-0.0,-0.0,0.06850988,0.47739285,1.1587081,0.41901568,0.21120214,0.79268724,0.44381323,0.01351403,0.79377872,0.20485398,0.28979972,0.63756561,0.28976944,0.13394217
-0.0,-0.0,0.05835533,0.44858935,1.0404247,0.42002013,0.19696344,0.73776358,0.43033773,-0.00834046,0.68127376,0.21009728,0.28530076,0.44430625,0.25930056,0.21471043
-0.0,-0.0,0.062654,0.4684999,1.09060621,0.40494353,0.20355457,0.77808899,0.43903339,0.01068266,0.78017068,0.2372665,0.30136508,0.89574033,0.28685683,0.10814243
-0.0,-0.0,0.05875872,0.46118954,1.1191318,0.40818527,0.21386951,0.77786458,0.43136197,0.01335108,0.75519109,0.22247308,0.30341002,0.63949609,0.27832881,0.11654175
-0.0,-0.0,0.05716527,0.45865077,1.10730731,0.41538402,0.20177801,0.76972646,0.42755267,0.00485706,0.74014229,0.20546807,0.27255332,0.58145708,0.27096221,0.12344285
