CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
4.49987173,0.73302186,0.37954348,0.68537599,0.79439998,0.41364548,0.57277888,0.85019678,0.45677713,0.77452451,1.32437372,0.80378002,0.47158092,1.55700219,1.20868731,-0.10406175
4.40730906,0.6917221,0.37263849,0.69233388,0.73996383,0.40736631,0.56974232,0.82299477,0.44223422,0.76336366,1.27446568,0.81471586,0.471071,1.49992132,1.21152234,-0.11259309
4.48040724,0.7584216,0.37791035,0.61980259,0.81699198,0.41279626,0.56409949,0.82458633,0.4350557,0.76502305,1.32379484,0.79580754,0.43512961,1.60943663,1.19957018,-0.1092825
4.41150713,0.7455554,0.38315645,0.6811232,0.80291545,0.41176358,0.57678175,0.82392645,0.4670535,0.75602615,1.31095755,0.81480008,0.4554036,1.59681427,1.20575082,-0.11238505
4.38177156,0.71987849,0.37259984,0.67593932,0.76902902,0.42109516,0.56567937,0.82090956,0.44498739,0.761581,1.29400575,0.81457889,0.45148918,1.55430543,1.20909262,-0.12351033
4.34791088,0.67089844,0.3578968,0.66890579,0.72310263,0.42762437,0.56252718,0.79669058,0.4534108,0.74672365,1.25532258,0.80234736,0.44565445,1.51926291,1.21311843,-0.12219986
4.31838942,0.63594735,0.37536013,0.67739773,0.66771412,0.41987315,0.55211699,0.78912359,0.45454207,0.753115,1.22090125,0.85349518,0.45449299,1.49131453,1.20749974,-0.12743503
4.45663548,0.70988101,0.37707645,0.66083741,0.76783425,0.43239781,0.56239474,0.8023333,0.45322424,0.75349951,1.28546083,0.81690639,0.43311849,1.59809005,1.21275747,-0.11919455
4.41150713,0.71718448,0.37560445,0.67053765,0.77162802,0.42158821,0.56376249,0.80895573,0.44004026,0.74944514,1.27857947,0.79539704,0.44216576,1.57393754,1.20390797,-0.1252732
4.32472134,0.67135328,0.3822535,0.68445605,0.72240978,0.43082517,0.5670473,0.80993944,0.45184162,0.74828285,1.25578058,0.79506058,0.44905657,1.54032147,1.19721067,-0.12088794
