CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
1.81918263,0.93717271,0.56607896,0.42664713,0.63278198,1.43834412,3.55789018,0.23499139,1.21652174,2.09967017,0.96352965,0.95235181,1.72637129,1.5467999,-0.21606408,1.77639723
1.83129418,0.94154346,0.58684027,0.42543957,0.63582945,1.38200784,3.46686482,0.250954,1.4567802,2.09581017,0.97547811,0.9394604,1.72538054,1.52269769,-0.20793341,1.76079738
1.80392551,0.92212278,0.56993836,0.43277672,0.60907984,1.48489463,3.41194582,0.22638556,1.30493236,2.07168007,0.94295567,0.93145967,1.73701406,1.47782421,-0.20938839,1.73370481
1.77293646,0.87684864,0.55826885,0.42543957,0.54992551,1.37618244,3.35115266,0.18292826,1.7360779,2.02525759,0.89040047,0.93183339,1.72592807,1.4187541,-0.21451178,1.69401097
1.74234939,0.82626939,0.54609758,0.40965658,0.48846522,1.41861439,3.59029913,0.16966586,1.11614501,2.01191783,0.88724619,0.93301141,1.73103654,1.49128699,-0.20729882,1.72161651
1.83160186,0.96181536,0.58991951,0.42875391,0.63914603,1.36945462,3.44685864,0.26010728,1.78911555,2.09915233,1.00462544,0.93194222,1.76703382,1.52829134,-0.20868571,1.74709177
1.82925868,0.96395063,0.57317173,0.46249461,0.6407823,1.44056678,3.49365735,0.25498182,1.02227402,2.10524726,0.99403811,0.93508166,1.78079164,1.49965918,-0.21434201,1.73036587
1.805323,0.92526138,0.55757183,0.47139904,0.59388965,1.37430239,3.42855811,0.22315116,0.76627576,2.08644342,0.94484472,0.94558871,1.77697408,1.44776344,-0.21458334,1.69631255
1.76200199,0.86750579,0.5539372,0.44989279,0.53087586,1.36102903,3.57317567,0.17392956,1.30086994,2.02895689,0.88738811,0.94422859,1.76503181,1.39205289,-0.20343225,1.65153551
1.71239269,0.8071847,0.5385679,0.43520233,0.46415636,1.36276615,3.60905218,0.12421326,1.34759545,1.98599887,0.82930624,0.92325354,1.74728203,1.33435404,-0.20469448,1.62025046
1.76216769,0.90314841,0.56744176,0.44820994,0.57810557,1.37487423,3.51715636,0.21273854,1.83814132,2.05603266,0.95204121,0.93531686,1.7731359,1.47048712,-0.21522051,1.67556572
1.78124225,0.91652304,0.54600918,0.45707676,0.6006664,1.39084578,3.56123352,0.22387566,1.95522046,2.05991173,0.97285146,0.95588839,1.78890526,1.47152591,-0.20464502,1.66743135
1.76582038,0.88748443,0.5689553,0.46580365,0.57765973,1.38921678,3.47859764,0.20347051,1.43539965,2.04401374,0.93989336,0.97060651,1.78636312,1.42264152,-0.20121501,1.63904333
1.73638237,0.84501356,0.54833025,0.44579372,0.53535742,1.38532317,3.49024582,0.17813006,1.91531205,2.00787401,0.89835906,0.94919717,1.76561832,1.37517858,-0.20817241,1.60913491
1.69656122,0.79314077,0.54226911,0.45539975,0.47279474,1.33279514,3.64177489,0.13099757,1.20589614,1.98332739,0.84354484,0.93342447,1.74140799,1.31346166,-0.2015029,1.56574702
1.6451205,0.73148936,0.53268194,0.42973027,0.4057056,1.40511394,3.40869474,0.09286489,1.50201738,1.9455862,0.80622023,0.93481112,1.7407881,1.35826385,-0.19589742,1.57807696
1.71428239,0.84252965,0.56064963,0.44081259,0.54935145,1.37567067,3.62110209,0.18344595,1.88246834,1.9958955,0.92633927,0.95766258,1.76662672,1.41344428,-0.2041809,1.59747589
1.70642352,0.84390485,0.57123053,0.44807819,0.56880605,1.36573768,3.59029913,0.18362701,1.60036373,1.99499762,0.92074847,0.95326537,1.76212966,1.3883121,-0.2091485,1.5862509
1.67078722,0.8083601,0.55826122,0.4509114,0.53110248,1.41264451,3.43182158,0.15601037,1.51040721,1.96794248,0.88038611,0.94965696,1.74998963,1.34145832,-0.19809112,1.55143106
1.64261127,0.75401878,0.55369109,0.44038504,0.47948265,1.45061052,3.41194582,0.1146102,1.81802189,1.9418664,0.83281153,0.94854397,1.74053693,1.28681314,-0.19838242,1.52362967
1.60650349,0.69893122,0.54624295,0.41821206,0.41538233,1.40486825,3.32335925,0.06904975,1.74939907,1.89753795,0.780141,0.93111098,1.71391332,1.23123467,-0.20591162,1.49411142
1.64083838,0.78723383,0.56748837,0.4380489,0.53177434,1.42212772,3.73586345,0.15632083,1.87938118,1.96917808,0.89262909,0.94101465,1.72707939,1.35956264,-0.19977148,1.5465529
