Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
1,0.00000000,0.00000000,0.00000000,0.05708541,0.10179254,0.06975872,0.03323786,0.19023652,-0.01789969,-0.00042839,0.04949145,0.00882853,0.00939450,0.14238645,0.01271617,0.04719026,0.01585799,0.05201001,-0.01079827,0.00000000,0.00000000,0.00000000,0,16:49:38.0,0,0
2,0.00000000,0.00000000,0.00000000,0.00690072,0.00073563,0.04898003,0.01127650,0.11228190,-0.01116288,-0.02417439,0.03156474,-0.00763515,0.00307777,0.07600625,0.03536066,0.01644263,-0.06724208,0.03563121,-0.00602239,0.00000000,0.00000000,0.00000000,0,16:49:38.0,0,0
3,0.00000000,0.00000000,0.00000000,-0.02738202,-0.09973177,0.03674267,-0.01049891,0.03362731,-0.00134831,-0.02338106,0.00962497,-0.04045365,-0.00910376,0.01595199,-0.00697448,-0.02531096,-0.15399012,0.01875357,-0.02480325,0.00000000,0.00000000,0.00000000,0,16:49:38.0,0,0
4,0.00000000,0.00000000,0.00000000,-0.07817569,-0.17096613,0.01273734,-0.02797998,-0.03379253,0.00680274,-0.02922553,-0.01039234,-0.03507167,-0.00258846,0.01852022,0.02271282,-0.00780959,-0.05130328,0.02924436,-0.04919000,0.00000000,0.00000000,0.00000000,0,16:49:38.0,0,0
5,0.00000000,0.00000000,0.00000000,-0.04191968,0.03256065,0.04860963,-0.00814082,0.15016766,0.00440794,-0.05487607,-0.02108298,-0.05433337,-0.00698531,0.11505537,-0.00320788,0.00246396,-0.05565171,0.04500777,-0.03076066,0.00000000,0.00000000,0.00000000,0,16:49:39.0,0,0
6,0.00000000,0.00000000,0.00000000,-0.10132424,-0.02883081,0.03856683,-0.02953530,0.10699813,0.01557117,-0.08276200,-0.03712827,-0.08903971,-0.01375252,0.07218975,-0.01155876,-0.03162355,-0.12087428,0.04009032,-0.04461778,0.00000000,0.00000000,0.00000000,0,16:49:39.0,0,0
7,0.00000000,0.00000000,0.00000000,-0.12824026,-0.12843138,0.02547647,-0.04694452,0.02530202,0.03814745,-0.10132112,-0.05621898,-0.09733415,-0.03536176,0.00293735,-0.03590737,-0.07583530,-0.19344665,0.00463468,-0.06045521,0.00000000,0.00000000,0.00000000,0,16:49:39.0,0,0
8,0.00000000,0.00000000,0.00000000,-0.15856232,-0.22677767,0.00499890,-0.06878968,-0.05884877,0.04945045,-0.11770816,-0.07179860,-0.12914532,-0.04306251,-0.05572206,-0.06445446,-0.11827121,-0.26899180,0.00225249,-0.06978677,0.00000000,0.00000000,0.00000000,0,16:49:39.0,0,0
9,0.00000000,0.00000000,0.00000000,-0.14254202,-0.12851940,0.00050819,-0.08066684,-0.01018393,0.05467558,-0.12807935,-0.11507118,-0.12996668,-0.04997252,0.01453341,-0.06435310,-0.08997905,-0.11352719,0.00084378,-0.08740692,0.00000000,0.00000000,0.00000000,0,16:49:39.0,0,0
10,0.00000000,0.00000000,0.00000000,-0.11613871,-0.07788549,0.00526525,-0.06080968,0.05714075,0.05731488,-0.11155144,-0.09453201,-0.12002536,-0.03380428,0.01976811,-0.06186993,-0.09192900,-0.15086095,0.01360053,-0.06256799,0.00000000,0.00000000,0.00000000,0,16:49:40.0,0,0
11,0.00000000,0.00000000,0.00000000,-0.12859866,-0.13495849,-0.00032582,-0.06325681,0.01256806,0.04629545,-0.11542550,-0.09341679,-0.11654738,-0.03829968,-0.01744684,-0.06612726,-0.10379539,-0.20077138,-0.00184254,-0.06682843,0.00000000,0.00000000,0.00000000,0,16:49:40.0,0,0
12,0.00000000,0.00000000,0.00000000,-0.15727936,-0.22885512,-0.00880755,-0.07615064,-0.06203813,0.05264270,-0.12621672,-0.11086291,-0.13085045,-0.04776129,-0.07941835,-0.07617374,-0.12961775,-0.27620730,0.00520833,-0.07479876,0.00000000,0.00000000,0.00000000,0,16:49:40.0,0,0
