CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
0.90981579,0.64067882,1.05188334,1.22589946,0.97876066,0.17067915,1.28792012,0.29410335,-0.39044365,0.73017931,0.92845923,0.16383953,1.62262571,1.05986547,0.63234591,0.77655387
0.90929812,0.59533685,1.05950022,1.23388612,0.93565279,0.17067915,1.29456413,0.30678943,-0.38359585,0.72864276,0.90661061,0.15265501,1.60656154,1.02376676,0.62934762,0.77568507
0.87143081,0.48414052,1.04533768,1.20229256,0.81898499,0.17291971,1.276106,0.28640378,-0.40817386,0.71413523,0.83055687,0.13912611,1.57205677,0.94728184,0.62645602,0.76905853
0.82830554,0.37874913,1.02685022,1.17180991,0.71923852,0.17473499,1.27293897,0.27174458,-0.42987934,0.70131177,0.77681112,0.13858078,1.56504667,0.99806607,0.62625122,0.75781536
0.95514822,0.71189117,1.0932256,1.26024282,1.0555166,0.16968648,1.31671226,0.31847012,-0.37096435,0.7511819,0.99913716,0.17529429,1.67206848,1.14529634,0.66058785,0.81092733
0.97267264,0.68262982,1.10498857,1.26940644,1.01992583,0.16710989,1.32833159,0.34820703,-0.35125232,0.75422621,0.98255354,0.18293126,1.67516148,1.12719166,0.65940845,0.81495762
0.93966562,0.55710429,1.09626544,1.24415624,0.89827687,0.17314002,1.30897117,0.32618344,-0.37003332,0.73664141,0.9041788,0.16159153,1.64286709,1.03671467,0.65768802,0.80728561
0.90279782,0.45373121,1.08258188,1.22087455,0.79805589,0.17799833,1.30401587,0.30656123,-0.38995013,0.72501373,0.83094013,0.14626029,1.62126422,0.97035301,0.6537227,0.79801649
1.01835787,0.78381157,1.13713002,1.30504322,1.13309979,0.17317978,1.35353029,0.35965112,-0.33256444,0.7790069,1.06640327,0.21326461,1.75652957,1.24624443,0.69438988,0.84760505
1.02966094,0.76198745,1.14724112,1.3196044,1.09580016,0.16833992,1.37050343,0.39914474,-0.301449,0.78849703,1.06751215,0.21979922,1.76536262,1.231879,0.70065689,0.85786319
1.00521243,0.6506651,1.14117491,1.30140269,0.98731762,0.16517405,1.35816765,0.38267905,-0.31558561,0.77449131,0.99291939,0.19418164,1.72552764,1.13989508,0.69597739,0.84308946
0.96188676,0.54744488,1.12358785,1.27597749,0.88509917,0.16987717,1.34037185,0.36494139,-0.34620479,0.75818008,0.92004853,0.17527898,1.6942625,1.05565321,0.68189031,0.83128405
0.99920183,0.73871881,1.13400245,1.30758226,1.05115414,0.17138074,1.34866464,0.36483034,-0.34067163,0.78565657,1.09399271,0.21573074,1.79685175,1.30509806,0.7076956,0.86177975
1.05209136,0.78147924,1.17254627,1.34038246,1.12222195,0.16202925,1.37900352,0.41864747,-0.29558563,0.8051914,1.10601616,0.23487258,1.8063463,1.28685486,0.71924633,0.87949151
1.05225742,0.72837591,1.17930377,1.34264946,1.06909966,0.16216797,1.38427496,0.42136747,-0.28220901,0.80229717,1.06710172,0.22631605,1.79335368,1.22458303,0.7179479,0.87661457
1.01239419,0.61647129,1.16469216,1.31035209,0.95756602,0.16798639,1.36561799,0.39441681,-0.31633559,0.78093237,0.99059623,0.20528027,1.76008224,1.13946986,0.70767522,0.86713964
0.96699411,0.5249337,1.14158797,1.28844404,0.86265594,0.17317978,1.36474526,0.37825099,-0.33634049,0.77784628,0.98880893,0.21038663,1.7831434,1.26109564,0.72230691,0.8619194
1.08077443,0.81638533,1.20913649,1.36380231,1.17136335,0.16798639,1.38671744,0.4246704,-0.2839222,0.81382805,1.14104223,0.24602081,1.85020387,1.31150556,0.74409926,0.8971436
1.07922506,0.77275503,1.20740128,1.36614001,1.12273955,0.16888452,1.39904845,0.43601257,-0.2718235,0.81407303,1.11644983,0.2429301,1.84819663,1.2791642,0.74330616,0.89489228
